Country of Citizenship,2015,2016,2017,2018,2019,2020,2021,2022,2023,first_letter
Jamaica,1380,1740,1575,1740,2095,1330,1765,1675,1895,J
Japan,6300,7010,6845,6975,6925,3735,8155,11640,8020,J
Jordan,295,420,470,645,950,680,1470,1850,1480,J
