Country of Citizenship,2015,2016,2017,2018,2019,2020,2021,2022,2023,first_letter
Reunion,0,0,0,0,0,0,0,0,0,R
Romania,125,120,140,155,155,95,125,145,125,R
Russia,1605,1565,1520,1500,1590,1080,1745,1310,1860,R
Rwanda,230,350,460,560,705,455,660,960,1840,R
