Country of Citizenship,2015,2016,2017,2018,2019,2020,2021,2022,2023,first_letter
Denmark,100,105,105,110,100,40,285,145,105,D
"Djibouti, Republic of",25,40,35,55,50,20,40,55,95,D
Dominica,5,20,30,60,45,30,55,65,75,D
Dominican Republic,170,235,235,305,295,215,545,670,780,D
