Country of Citizenship,2015,2016,2017,2018,2019,2020,2021,2022,2023,first_letter
"East Timor, Democratic Republic of",0,0,0,0,0,0,0,0,0,E
Ecuador,410,545,665,785,895,630,1645,1900,2360,E
Egypt,830,1060,1285,1345,1600,1055,1935,1710,1655,E
El Salvador,180,225,280,290,275,195,270,405,360,E
"Equatorial Guinea, Republic of",0,0,20,5,20,0,0,5,5,E
Eritrea,85,110,225,155,85,65,40,35,35,E
Estonia,15,25,10,20,0,5,15,5,5,E
Ethiopia,145,225,260,325,320,230,325,475,775,E
