Country of Citizenship,2015,2016,2017,2018,2019,2020,2021,2022,2023,first_letter
Iceland,40,40,40,30,40,30,25,35,15,I
India,32465,53450,84290,109290,140250,84590,174595,232640,220035,I
"Indonesia, Republic of",775,840,990,1240,1330,830,1645,1720,1700,I
Iran,2405,3095,4860,7260,10060,7435,12420,13890,13735,I
Iraq,120,160,150,215,170,140,235,235,275,I
"Ireland, Republic of",230,235,210,155,170,115,270,255,185,I
Israel,395,445,485,450,525,420,630,495,645,I
Italy,1025,1430,1475,1480,1490,840,3025,2450,1670,I
"Ivory Coast, Republic of",665,715,755,965,1235,935,2010,2185,4080,I
