Province/territory,Sex,2015,2016,2017,2018,2019,2020,2021,2022,2023
Prince Edward Island ,Gender not stated,0,0,0,0,0,0,0,0,0
Nova Scotia,Female,"2,715","3,185","3,500","4,445","4,605","2,315","4,405","6,235","6,905"
Nova Scotia,Male,"3,535","3,840","4,270","5,445","5,740","2,705","5,550","6,880","7,405"
Nova Scotia,Another gender,0,0,0,0,0,0,0,0,0
Nova Scotia,Gender not stated,0,0,0,0,0,0,0,0,0
