Province/Territory,study level,2015,2016,2017,2018,2019,2020,2021,2022,2023
Prince Edward Island,Post Secondary,500,760,905,1060,1260,735,1215,1600,1860
Prince Edward Island,Other Studies,235,215,280,370,240,270,205,225,480
Prince Edward Island,Education level not stated,0,0,0,0,0,0,0,0,0
Nova Scotia,Secondary or less,1215,1425,1580,1645,1755,990,1445,2495,3755
Nova Scotia,Post Secondary,4215,4840,5070,6795,7215,3710,7775,9715,11520
