Province/Territory,study level,2015,2016,2017,2018,2019,2020,2021,2022,2023
Nova Scotia,Other Studies,865,805,1215,1580,1445,375,785,955,810
Nova Scotia,Education level not stated,0,0,5,0,10,0,0,0,10
New Brunswick,Secondary or less,415,570,725,925,1010,515,1460,1995,2955
New Brunswick,Post Secondary,1785,1815,1945,2410,3150,1650,4295,5525,7765
New Brunswick,Other Studies,125,240,245,400,210,105,170,135,205
