Province/territory,Sex,2015,2016,2017,2018,2019,2020,2021,2022,2023
Quebec,Male,"16,600","18,215","20,315","24,130","32,010","23,785","34,650","33,730","37,690"
Quebec,Another gender,0,0,0,0,0,0,0,5,20
Quebec,Gender not stated,0,0,0,0,0,0,0,0,5
Ontario,Female,"42,625","55,170","69,545","79,540","91,755","56,295","101,065","134,545","139,720"
Ontario,Male,"53,460","68,625","85,860","94,620","106,410","63,285","118,570","155,325","161,000"
