Province/Territory,study level,2015,2016,2017,2018,2019,2020,2021,2022,2023
Alberta,Education level not stated,10,10,5,5,25,0,10,5,20
British Columbia,Secondary or less,17365,19325,20135,19690,20130,13365,20895,24095,27710
British Columbia,Post Secondary,30260,37495,46030,51615,56780,42365,65495,77975,91835
British Columbia,Other Studies,9815,9620,11145,11245,10000,3865,8330,9200,7905
British Columbia,Education level not stated,50,40,35,35,35,25,65,35,45
