Province/Territory,study level,2015,2016,2017,2018,2019,2020,2021,2022,2023
Northwest Territories,Post Secondary,5,0,0,0,0,5,10,10,10
Northwest Territories,Other Studies,0,0,0,0,0,0,0,0,0
Nunavut,Secondary or less,0,0,0,0,0,0,0,0,0
Nunavut,Post Secondary,0,0,0,0,0,0,0,0,5
Nunavut,Other Studies,0,0,0,0,0,0,0,0,0
