Province/territory,Sex,2015,2016,2017,2018,2019,2020,2021,2022,2023
New Brunswick,Female,880,"1,070","1,150","1,550","1,820",945,"2,655","3,535","4,480"
New Brunswick,Male,"1,440","1,550","1,760","2,180","2,545","1,320","3,270","4,105","5,315"
New Brunswick,Another gender,0,0,0,0,0,0,0,0,0
New Brunswick,Gender not stated,0,0,0,0,0,0,0,0,0
Quebec,Female,"13,605","15,180","17,645","19,855","25,060","18,570","28,805","28,900","31,285"
