Country of Citizenship,2015,2016,2017,2018,2019,2020,2021,2022,2023,first_letter
Kazakhstan,495,620,660,720,690,390,740,525,765,K
Kenya,440,695,810,1050,1085,870,1230,1355,1885,K
"Korea, People's Democratic Republic of",0,0,5,0,0,0,0,0,0,K
"Korea, Republic of",15870,17230,18010,18010,17915,11805,11145,12095,10390,K
"Kosovo, Republic of",40,45,15,45,30,40,65,50,100,K
Kuwait,140,150,170,150,170,100,235,265,275,K
Kyrgyzstan,10,35,55,65,70,60,95,90,130,K
