Province/Territory,study level,2015,2016,2017,2018,2019,2020,2021,2022,2023
Yukon,Secondary or less,0,10,15,20,35,35,80,85,140
Yukon,Post Secondary,25,35,170,55,85,75,115,75,110
Yukon,Other Studies,10,10,10,0,10,0,0,0,5
Yukon,Education level not stated,0,0,0,0,0,0,0,0,0
Northwest Territories,Secondary or less,15,20,20,20,25,15,20,30,35
