Province/territory,Sex,2015,2016,2017,2018,2019,2020,2021,2022,2023
Alberta,Male,"7,640","8,340","8,650","9,795","10,620","6,685","12,365","14,430","17,730"
Alberta,Another gender,0,0,0,0,0,0,0,0,0
Alberta,Gender not stated,0,0,0,0,0,0,0,0,0
British Columbia,Female,"27,490","32,615","37,975","40,590","43,110","29,510","48,510","57,835","54,910"
British Columbia,Male,"29,260","33,030","38,400","41,025","42,960","29,490","45,490","52,500","53,610"
