Province/territory,Sex,2015,2016,2017,2018,2019,2020,2021,2022,2023
British Columbia,Another gender,0,0,0,0,0,0,0,10,10
British Columbia,Gender not stated,0,0,0,0,0,0,0,0,0
Yukon,Female,20,35,80,40,65,55,95,80,105
Yukon,Male,15,25,115,35,70,60,105,80,120
Northwest Territories,Female,5,10,15,15,15,10,15,20,20
