Province/territory,Sex,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ontario,Another gender,0,0,10,5,5,0,35,30,20
Ontario,Gender not stated,0,0,0,0,5,0,0,5,5
Manitoba,Female,"2,845","3,550","4,450","5,175","5,360","3,695","5,955","6,960","7,915"
Manitoba,Male,"4,085","5,025","6,000","6,810","6,665","4,685","6,635","7,820","8,825"
Manitoba,Another gender,0,0,0,0,0,0,0,0,0
