Province/territory,Sex,2015,2016,2017,2018,2019,2020,2021,2022,2023
Northwest Territories,Male,15,10,10,10,15,10,15,15,25
Nunavut,Female,0,0,0,0,5,0,5,0,5
Nunavut,Male,0,0,0,0,0,0,0,0,0
Province/territory not stated Total,,40,125,100,960,"1,850",635,"3,495","7,830","8,925"
