Province/Territory,study level,2015,2016,2017,2018,2019,2020,2021,2022,2023
Saskatchewan,Other Studies,265,270,430,655,500,130,255,340,455
Saskatchewan,Education level not stated,0,5,0,0,0,0,0,5,15
Alberta,Secondary or less,4135,3925,3895,3965,4610,3225,4870,7225,11860
Alberta,Post Secondary,8705,10390,10890,12925,14215,8880,17755,20125,28635
Alberta,Other Studies,1855,2065,1960,1955,1715,825,1175,1285,1580
