Country of Citizenship,2015,2016,2017,2018,2019,2020,2021,2022,2023,first_letter
Haiti,375,475,445,495,545,515,980,1560,2145,H
Holy See,0,0,0,0,0,0,0,0,0,H
Honduras,75,130,145,180,170,120,270,375,375,H
Hong Kong SAR,2180,2495,2555,2560,2580,2735,6605,9815,7545,H
Hungary,110,120,110,100,105,55,125,110,100,H
