Province/Territory,study level,2015,2016,2017,2018,2019,2020,2021,2022,2023
Newfoundland and Labrador,Secondary or less,180,310,335,330,375,175,525,840,850
Newfoundland and Labrador,Post Secondary,1375,1595,1760,1835,2135,1180,2735,3010,3220
Newfoundland and Labrador,Other Studies,90,85,150,145,115,35,40,50,75
Newfoundland and Labrador,Education level not stated,0,0,0,0,0,0,0,0,0
Prince Edward Island,Secondary or less,175,205,270,450,400,290,475,590,750
