Country of Citizenship,2015,2016,2017,2018,2019,2020,2021,2022,2023,first_letter
Uganda,170,270,275,390,455,295,385,495,700,U
Ukraine,1555,2050,1960,1765,1585,1030,1475,6965,5955,U
United Arab Emirates,55,35,30,45,35,25,50,65,190,U
United Kingdom and Overseas Territories,2060,2270,2320,2055,1975,1065,2500,2325,2080,U
United States Minor Outlying Islands,0,0,0,0,0,0,0,0,0,U
United States of America,5815,6405,7105,6675,6820,4405,8445,7180,7735,U
Uruguay,10,15,30,35,50,35,50,30,35,U
Uzbekistan,25,35,25,20,30,25,50,75,175,U
