Province/Territory,study level,2015,2016,2017,2018,2019,2020,2021,2022,2023
Manitoba,Post Secondary,5210,6390,7715,9145,9420,6690,9395,10760,13775
Manitoba,Other Studies,730,1000,1355,1440,1040,540,970,1090,1090
Manitoba,Education level not stated,5,0,0,5,0,0,5,0,5
Saskatchewan,Secondary or less,965,995,915,900,1090,845,1320,1940,2880
Saskatchewan,Post Secondary,2705,3085,3195,4230,4675,2520,4835,6155,8760
