Province/territory,Sex,2015,2016,2017,2018,2019,2020,2021,2022,2023
Newfoundland and Labrador,Female,570,745,865,900,"1,050",530,"1,270","1,600","1,535"
Newfoundland and Labrador,Male,"1,075","1,240","1,370","1,400","1,565",850,"2,025","2,290","2,205"
Newfoundland and Labrador,Another gender,0,0,0,0,0,0,0,0,0
Prince Edward Island ,Female,425,525,670,765,885,615,905,"1,120","1,360"
Prince Edward Island ,Male,485,650,780,"1,090","1,010",680,985,"1,280","1,435"
