Province/Territory,study level,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ontario,Secondary or less,21310,24900,29215,30730,33000,20800,24405,31545,45350
Ontario,Post Secondary,64090,85970,107750,122975,146570,93170,180575,238590,295590
Ontario,Other Studies,11940,14390,20630,22635,20555,7325,16275,21565,23570
Ontario,Education level not stated,55,50,55,60,60,40,60,80,100
Manitoba,Secondary or less,1045,1235,1495,1510,1670,1230,2315,3050,4450
