Province/Territory,study level,year 2015,year 2016,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023
Province/Territory: Prince Edward Island,study level: Post Secondary,year 2015: 500,year 2016: 760,year 2017: 905,year 2018: 1060,year 2019: 1260,year 2020: 735,year 2021: 1215,year 2022: 1600,year 2023: 1860
Province/Territory: Prince Edward Island,study level: Other Studies,year 2015: 235,year 2016: 215,year 2017: 280,year 2018: 370,year 2019: 240,year 2020: 270,year 2021: 205,year 2022: 225,year 2023: 480
Province/Territory: Prince Edward Island,study level: Education level not stated,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0
Province/Territory: Nova Scotia,study level: Secondary or less,year 2015: 1215,year 2016: 1425,year 2017: 1580,year 2018: 1645,year 2019: 1755,year 2020: 990,year 2021: 1445,year 2022: 2495,year 2023: 3755
Province/Territory: Nova Scotia,study level: Post Secondary,year 2015: 4215,year 2016: 4840,year 2017: 5070,year 2018: 6795,year 2019: 7215,year 2020: 3710,year 2021: 7775,year 2022: 9715,year 2023: 11520
