Country of Citizenship,year 2015,year 2016,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,first_letter
Zambia,year 2015: 120,year 2016: 125,year 2017: 120,year 2018: 125,year 2019: 135,year 2020: 105,year 2021: 130,year 2022: 170,year 2023: 195,Z
Zimbabwe,year 2015: 335,year 2016: 500,year 2017: 445,year 2018: 440,year 2019: 375,year 2020: 345,year 2021: 525,year 2022: 700,year 2023: 730,Z
