Province/Territory,study level,year 2015,year 2016,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023
Province/Territory: Northwest Territories,study level: Post Secondary,year 2015: 5,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 5,year 2021: 10,year 2022: 10,year 2023: 10
Province/Territory: Northwest Territories,study level: Other Studies,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0
Province/Territory: Nunavut,study level: Secondary or less,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0
Province/Territory: Nunavut,study level: Post Secondary,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 5
Province/Territory: Nunavut,study level: Other Studies,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0
