Province/Territory,study level,year 2015,year 2016,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023
Province/Territory: Yukon,study level: Secondary or less,year 2015: 0,year 2016: 10,year 2017: 15,year 2018: 20,year 2019: 35,year 2020: 35,year 2021: 80,year 2022: 85,year 2023: 140
Province/Territory: Yukon,study level: Post Secondary,year 2015: 25,year 2016: 35,year 2017: 170,year 2018: 55,year 2019: 85,year 2020: 75,year 2021: 115,year 2022: 75,year 2023: 110
Province/Territory: Yukon,study level: Other Studies,year 2015: 10,year 2016: 10,year 2017: 10,year 2018: 0,year 2019: 10,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 5
Province/Territory: Yukon,study level: Education level not stated,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0
Province/Territory: Northwest Territories,study level: Secondary or less,year 2015: 15,year 2016: 20,year 2017: 20,year 2018: 20,year 2019: 25,year 2020: 15,year 2021: 20,year 2022: 30,year 2023: 35
