Province/Territory,study level,year 2015,year 2016,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023
Province/Territory: Manitoba,study level: Post Secondary,year 2015: 5210,year 2016: 6390,year 2017: 7715,year 2018: 9145,year 2019: 9420,year 2020: 6690,year 2021: 9395,year 2022: 10760,year 2023: 13775
Province/Territory: Manitoba,study level: Other Studies,year 2015: 730,year 2016: 1000,year 2017: 1355,year 2018: 1440,year 2019: 1040,year 2020: 540,year 2021: 970,year 2022: 1090,year 2023: 1090
Province/Territory: Manitoba,study level: Education level not stated,year 2015: 5,year 2016: 0,year 2017: 0,year 2018: 5,year 2019: 0,year 2020: 0,year 2021: 5,year 2022: 0,year 2023: 5
Province/Territory: Saskatchewan,study level: Secondary or less,year 2015: 965,year 2016: 995,year 2017: 915,year 2018: 900,year 2019: 1090,year 2020: 845,year 2021: 1320,year 2022: 1940,year 2023: 2880
Province/Territory: Saskatchewan,study level: Post Secondary,year 2015: 2705,year 2016: 3085,year 2017: 3195,year 2018: 4230,year 2019: 4675,year 2020: 2520,year 2021: 4835,year 2022: 6155,year 2023: 8760
