Country of Citizenship,year 2015,year 2016,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,first_letter
Reunion,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0,R
Romania,year 2015: 125,year 2016: 120,year 2017: 140,year 2018: 155,year 2019: 155,year 2020: 95,year 2021: 125,year 2022: 145,year 2023: 125,R
Russia,year 2015: 1605,year 2016: 1565,year 2017: 1520,year 2018: 1500,year 2019: 1590,year 2020: 1080,year 2021: 1745,year 2022: 1310,year 2023: 1860,R
Rwanda,year 2015: 230,year 2016: 350,year 2017: 460,year 2018: 560,year 2019: 705,year 2020: 455,year 2021: 660,year 2022: 960,year 2023: 1840,R
