Province/Territory,study level,year 2015,year 2016,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023
Province/Territory: Ontario,study level: Secondary or less,year 2015: 21310,year 2016: 24900,year 2017: 29215,year 2018: 30730,year 2019: 33000,year 2020: 20800,year 2021: 24405,year 2022: 31545,year 2023: 45350
Province/Territory: Ontario,study level: Post Secondary,year 2015: 64090,year 2016: 85970,year 2017: 107750,year 2018: 122975,year 2019: 146570,year 2020: 93170,year 2021: 180575,year 2022: 238590,year 2023: 295590
Province/Territory: Ontario,study level: Other Studies,year 2015: 11940,year 2016: 14390,year 2017: 20630,year 2018: 22635,year 2019: 20555,year 2020: 7325,year 2021: 16275,year 2022: 21565,year 2023: 23570
Province/Territory: Ontario,study level: Education level not stated,year 2015: 55,year 2016: 50,year 2017: 55,year 2018: 60,year 2019: 60,year 2020: 40,year 2021: 60,year 2022: 80,year 2023: 100
Province/Territory: Manitoba,study level: Secondary or less,year 2015: 1045,year 2016: 1235,year 2017: 1495,year 2018: 1510,year 2019: 1670,year 2020: 1230,year 2021: 2315,year 2022: 3050,year 2023: 4450
