Country of Citizenship,year 2015,year 2016,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,first_letter
Haiti,year 2015: 375,year 2016: 475,year 2017: 445,year 2018: 495,year 2019: 545,year 2020: 515,year 2021: 980,year 2022: 1560,year 2023: 2145,H
Holy See,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 0,H
Honduras,year 2015: 75,year 2016: 130,year 2017: 145,year 2018: 180,year 2019: 170,year 2020: 120,year 2021: 270,year 2022: 375,year 2023: 375,H
Hong Kong SAR,year 2015: 2180,year 2016: 2495,year 2017: 2555,year 2018: 2560,year 2019: 2580,year 2020: 2735,year 2021: 6605,year 2022: 9815,year 2023: 7545,H
Hungary,year 2015: 110,year 2016: 120,year 2017: 110,year 2018: 100,year 2019: 105,year 2020: 55,year 2021: 125,year 2022: 110,year 2023: 100,H
