Province/Territory,study level,year 2015,year 2016,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023
Province/Territory: New Brunswick,study level: Education level not stated,year 2015: 0,year 2016: 0,year 2017: 0,year 2018: 0,year 2019: 0,year 2020: 0,year 2021: 0,year 2022: 0,year 2023: 5
Province/Territory: Quebec,study level: Secondary or less,year 2015: 2530,year 2016: 2975,year 2017: 3570,year 2018: 3960,year 2019: 5410,year 2020: 3695,year 2021: 6040,year 2022: 6750,year 2023: 9980
Province/Territory: Quebec,study level: Post Secondary,year 2015: 24555,year 2016: 26540,year 2017: 29515,year 2018: 34585,year 2019: 44885,year 2020: 33255,year 2021: 51420,year 2022: 49895,year 2023: 59720
Province/Territory: Quebec,study level: Other Studies,year 2015: 3250,year 2016: 4045,year 2017: 5100,year 2018: 5610,year 2019: 6955,year 2020: 5625,year 2021: 6230,year 2022: 6255,year 2023: 8475
Province/Territory: Quebec,study level: Education level not stated,year 2015: 25,year 2016: 15,year 2017: 15,year 2018: 20,year 2019: 15,year 2020: 15,year 2021: 10,year 2022: 10,year 2023: 15
