Country of Citizenship,year 2015,year 2016,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,first_letter
Denmark,year 2015: 100,year 2016: 105,year 2017: 105,year 2018: 110,year 2019: 100,year 2020: 40,year 2021: 285,year 2022: 145,year 2023: 105,D
"Djibouti, Republic of",year 2015: 25,year 2016: 40,year 2017: 35,year 2018: 55,year 2019: 50,year 2020: 20,year 2021: 40,year 2022: 55,year 2023: 95,D
Dominica,year 2015: 5,year 2016: 20,year 2017: 30,year 2018: 60,year 2019: 45,year 2020: 30,year 2021: 55,year 2022: 65,year 2023: 75,D
Dominican Republic,year 2015: 170,year 2016: 235,year 2017: 235,year 2018: 305,year 2019: 295,year 2020: 215,year 2021: 545,year 2022: 670,year 2023: 780,D
